#;Hasomed RehaGait raw measurement data file;
#;Contains sensor calibrated raw values;
#;File version;3;
#;App version;1.3.16;
#;App type;36;
#;Patient ID;-1;
#;Patient name;COKI10367;EJ;
#;Patient date of birth;1942-12-25 00-00-00;
#;Patient age at measurement date;78,500000;years;
#;Patient body height;174;cm;
#;Measurement date;2021-06-01 14-59-35;
#;Sensor serial;1824;Sensor position;0; Sample rate;100;
#;Sensor serial;1825;Sensor position;1; Sample rate;100;
#;Sensor serial;1826;Sensor position;6; Sample rate;100;
#;Accelerometer data unit;Metre per second squared;
#;Gyroscope data unit;Degree per second;
#;Magnetic field data unit;Gauss;
#;Examiner;EJ;
#;Patient-ID;COKI10367;
#;Patient trial time;1;T1;
#;Assessment type;17;StraightWalkNormalPace;
#;Tool type;0;None;
# Sample number;Sensor position;AccX;AccY;AccZ;GyroX;GyroY;GyroZ;MagX;MagY;MagZ;Sensor position;AccX;AccY;AccZ;GyroX;GyroY;GyroZ;MagX;MagY;MagZ;Sensor position;AccX;AccY;AccZ;GyroX;GyroY;GyroZ;MagX;MagY;MagZ;Init algo done;Pause;
0;0;-0.5651;2.1760;9.4397;-0.1712;0.1914;0.0678;-0.3263;0.3937;-0.6917;1;0.9888;2.8401;9.5606;-0.4975;0.7388;0.1829;0.7445;-0.4563;-0.7385;6;10.0850;0.7100;1.0493;-0.6654;1.1345;-0.5856;-1.3436;-0.1539;-0.5107;0;0;
1;0;-0.6888;2.2951;9.2610;-0.1372;0.3750;0.0714;-0.3252;0.3170;-0.7276;1;0.9854;2.8969;9.3851;-0.3726;0.6785;0.2133;0.5163;-0.4143;-0.7265;6;9.7972;0.6533;0.8152;-0.6042;1.1959;-0.6176;-1.1960;-0.1240;-0.1162;1;0;
2;0;-0.2055;2.5264;9.3833;-0.1700;0.1602;0.2209;-0.2897;0.3538;-0.7076;1;1.1533;2.6655;9.1530;-0.4370;0.7379;0.0289;0.5163;-0.4023;-0.7325;6;9.9719;1.2220;1.1049;-0.5491;1.1381;-0.8349;-1.2275;-0.1055;-0.1162;1;0;
3;0;-0.6898;2.2958;9.2026;-0.2630;0.2209;0.1004;-0.2727;0.3524;-0.7234;1;1.3901;2.7244;9.5678;-0.4359;0.6758;-0.0015;0.5043;-0.4143;-0.7325;6;9.8035;0.5398;1.1585;-0.8042;1.1415;-1.0730;-1.1970;-0.1257;-0.2050;1;0;
4;0;-0.5070;2.1774;9.3240;-0.1414;0.1615;0.0053;-0.3054;0.2979;-0.7104;1;1.2133;3.0113;9.3314;-0.6568;0.9212;0.0291;0.5223;-0.4263;-0.7265;6;9.7976;1.1083;0.8727;-0.8006;1.1093;-0.9505;-1.1808;-0.1435;-0.1520;1;0;
5;0;-0.6839;2.5832;9.5493;-0.1090;0.2534;0.0069;-0.3082;0.3156;-0.7434;1;0.9362;2.6687;9.7930;-0.6881;0.9203;-0.0322;0.5163;-0.4083;-0.7385;6;9.4059;0.8815;1.1514;-0.5827;1.2003;-0.9255;-1.1802;-0.0867;-0.1857;1;0;
6;0;-0.6285;2.2366;9.2628;-0.1365;0.4978;-0.0490;-0.2322;0.2954;-0.6895;1;1.7313;2.9534;9.4582;-0.6247;0.8279;-0.0627;0.5223;-0.4023;-0.7325;6;9.7399;1.0515;0.8144;-0.3993;1.3234;-1.0222;-1.2282;-0.1253;-0.1524;1;0;
7;0;-0.7460;2.4680;9.4329;-0.2012;0.2215;0.0996;-0.2693;0.2964;-0.7084;1;1.2174;2.5519;9.5051;-0.6282;1.0140;-0.0023;0.5163;-0.4023;-0.7325;6;10.2020;1.2787;1.2808;-0.4015;1.2330;-1.0843;-1.1968;-0.1069;-0.2222;1;0;
8;0;-0.6221;2.1739;9.6139;-0.3290;0.0067;0.0350;-0.2508;0.3345;-0.6726;1;1.3288;2.4935;9.3313;-0.6892;0.9824;-0.0018;0.5223;-0.4083;-0.7385;6;9.4025;1.0520;0.9799;-0.4149;1.1333;-0.5009;-1.1958;-0.0494;-0.2204;1;0;
9;0;-0.8126;1.7729;9.0319;-0.2348;0.0378;0.1268;-0.3036;0.2797;-0.6942;1;1.0908;2.4918;8.8583;-0.3820;1.0159;-0.0653;0.5223;-0.3963;-0.7505;6;9.7450;1.1654;1.1007;-0.1878;1.1590;-0.1695;-1.1800;-0.0863;-0.1679;1;0;
10;0;-0.3895;2.7623;9.2020;-0.2038;0.0073;0.1872;-0.2855;0.2789;-0.6932;1;0.9902;2.6679;9.6184;-0.6603;1.0755;-0.0025;0.5163;-0.4023;-0.7205;6;9.6314;1.2224;1.0986;-0.2812;0.9764;-0.1681;-1.1800;-0.1048;-0.1330;1;0;
11;0;-0.4459;2.2933;9.3820;-0.1719;0.0687;0.1882;-0.2518;0.3339;-0.6894;1;1.1602;3.1274;9.5652;-0.7515;1.0127;-0.0016;0.5223;-0.4263;-0.7505;6;9.6852;1.1085;0.9279;-0.1281;1.0382;-0.2337;-1.2274;-0.0682;-0.1683;1;0;
12;0;-0.0890;2.2957;9.1548;-0.2331;0.0063;0.3414;-0.3062;0.3168;-0.7098;1;1.0430;2.7242;9.3854;-0.5645;0.9855;0.1818;0.5103;-0.4203;-0.7385;6;9.7992;0.7103;0.9297;-0.1302;0.9782;-0.2956;-1.2115;-0.0863;-0.1330;1;0;
13;0;-0.8069;2.2354;9.3764;-0.0790;0.1003;0.1569;-0.2722;0.3140;-0.7413;1;1.4507;2.7251;9.7446;-0.6883;0.9200;-0.0629;0.5103;-0.4203;-0.7205;6;10.1478;0.9377;1.3940;-0.1522;0.8216;0.0111;-1.1947;-0.0288;-0.1487;1;0;
