onset	duration	event_type	tracking_systems	tracked_points
4.5	5.25	gait sequence	SU	LowerBack
90.225	10.300000000000011	gait sequence	SU	LowerBack
106.075	5.599999999999994	gait sequence	SU	LowerBack
116.225	10.350000000000009	gait sequence	SU	LowerBack
141.275	5.849999999999994	gait sequence	SU	LowerBack
159.525	6.799999999999983	gait sequence	SU	LowerBack
174.275	4.474999999999994	gait sequence	SU	LowerBack
195.1	6.950000000000017	gait sequence	SU	LowerBack
207.3	17.875	gait sequence	SU	LowerBack
256.925	5.899999999999977	gait sequence	SU	LowerBack
291.225	16.549999999999955	gait sequence	SU	LowerBack
315.475	11.25	gait sequence	SU	LowerBack
349.2	6.25	gait sequence	SU	LowerBack
360.35	32.375	gait sequence	SU	LowerBack
408.15	59.35000000000002	gait sequence	SU	LowerBack
470.975	4.274999999999977	gait sequence	SU	LowerBack
478.325	4.425000000000011	gait sequence	SU	LowerBack
488.1	340.94999999999993	gait sequence	SU	LowerBack
848.55	14.625	gait sequence	SU	LowerBack
866.3	49.0	gait sequence	SU	LowerBack
940.975	14.024999999999977	gait sequence	SU	LowerBack
966.725	39.64999999999998	gait sequence	SU	LowerBack
1047.625	12.625	gait sequence	SU	LowerBack
1273.875	8.200000000000045	gait sequence	SU	LowerBack
1577.825	14.424999999999955	gait sequence	SU	LowerBack
1736.925	5.4500000000000455	gait sequence	SU	LowerBack
2024.925	4.4500000000000455	gait sequence	SU	LowerBack
2034.875	19.699999999999818	gait sequence	SU	LowerBack
2080.35	12.825000000000273	gait sequence	SU	LowerBack
2133.7	37.42500000000018	gait sequence	SU	LowerBack
2176.175	5.574999999999818	gait sequence	SU	LowerBack
2197.25	22.72499999999991	gait sequence	SU	LowerBack
2364.45	10.600000000000364	gait sequence	SU	LowerBack
2383.375	5.099999999999909	gait sequence	SU	LowerBack
2409.825	5.475000000000364	gait sequence	SU	LowerBack
2784.225	13.599999999999909	gait sequence	SU	LowerBack
2801.225	7.400000000000091	gait sequence	SU	LowerBack
2827.2	7.725000000000364	gait sequence	SU	LowerBack
2838.275	9.574999999999818	gait sequence	SU	LowerBack
2873.9	20.949999999999818	gait sequence	SU	LowerBack
2929.85	15.974999999999909	gait sequence	SU	LowerBack
2979.925	5.875	gait sequence	SU	LowerBack
3026.175	8.625	gait sequence	SU	LowerBack
3068.725	8.175000000000182	gait sequence	SU	LowerBack
3116.4	17.699999999999818	gait sequence	SU	LowerBack
3169.1	49.82500000000027	gait sequence	SU	LowerBack
3253.95	84.30000000000018	gait sequence	SU	LowerBack
3419.575	7.400000000000091	gait sequence	SU	LowerBack
4066.425	8.724999999999909	gait sequence	SU	LowerBack
4428.125	29.975000000000364	gait sequence	SU	LowerBack
4474.65	74.15000000000055	gait sequence	SU	LowerBack
4598.475	5.724999999999454	gait sequence	SU	LowerBack
4750.425	13.699999999999818	gait sequence	SU	LowerBack
4796.275	7.75	gait sequence	SU	LowerBack
4946.05	5.25	gait sequence	SU	LowerBack
4960.725	9.174999999999272	gait sequence	SU	LowerBack
5180.9	5.550000000000182	gait sequence	SU	LowerBack
5381.025	7.225000000000364	gait sequence	SU	LowerBack
5454.525	8.600000000000364	gait sequence	SU	LowerBack
5484.85	7.174999999999272	gait sequence	SU	LowerBack
5511.05	7.949999999999818	gait sequence	SU	LowerBack
5650.9	9.025000000000546	gait sequence	SU	LowerBack
5932.85	4.599999999999454	gait sequence	SU	LowerBack
5949.05	4.649999999999636	gait sequence	SU	LowerBack
6147.275	8.775000000000546	gait sequence	SU	LowerBack
6201.375	56.07499999999982	gait sequence	SU	LowerBack
6299.5	6.399999999999636	gait sequence	SU	LowerBack
6309.6	112.44999999999982	gait sequence	SU	LowerBack
6434.475	328.8249999999998	gait sequence	SU	LowerBack
6770.425	5.050000000000182	gait sequence	SU	LowerBack
6778.775	12.25	gait sequence	SU	LowerBack
6794.775	23.475000000000364	gait sequence	SU	LowerBack
6830.925	15.449999999999818	gait sequence	SU	LowerBack
6850.05	9.224999999999454	gait sequence	SU	LowerBack
6863.725	9.625	gait sequence	SU	LowerBack
6887.4	21.925000000000182	gait sequence	SU	LowerBack
6919.575	6.449999999999818	gait sequence	SU	LowerBack
7067.1	5.474999999999454	gait sequence	SU	LowerBack
7085.8	6.524999999999636	gait sequence	SU	LowerBack
7128.1	15.875	gait sequence	SU	LowerBack
7607.575	5.725000000000364	gait sequence	SU	LowerBack
7617.15	4.150000000000546	gait sequence	SU	LowerBack
7679.425	10.625	gait sequence	SU	LowerBack
8090.625	4.199999999999818	gait sequence	SU	LowerBack
8149.85	5.049999999999272	gait sequence	SU	LowerBack
8184.875	21.450000000000728	gait sequence	SU	LowerBack
